merchant_name,month,monthly_spend
Rodriguez PLC,2024-11-01,10159.960000000001
Carlson and Sons,2024-11-01,10134.99
Lewis Group,2024-11-01,9993.49
Johnson LLC,2024-11-01,9888.57
Martin Inc,2024-11-01,9720.04
Brown and Sons,2024-11-01,9714.099999999999
Harding Ltd,2024-11-01,9674.48
Jones Ltd,2024-11-01,9536.05
Hood Ltd,2024-11-01,9446.29
Shaw Ltd,2024-11-01,9429.08
Morales LLC,2024-11-01,9409.47
Robinson and Sons,2024-11-01,9387.48
Brown Group,2024-11-01,9275.010000000002
Patterson LLC,2024-11-01,9267.34
Hamilton and Sons,2024-11-01,9266.0
Orozco LLC,2024-11-01,9210.94
Mcbride Group,2024-11-01,9151.279999999999
Ross and Sons,2024-11-01,8941.09
Mcmahon Group,2024-11-01,8931.98
Baker LLC,2024-11-01,8925.939999999999
Burns and Sons,2024-11-01,8914.369999999999
Boyd and Sons,2024-11-01,8875.97
Thompson Inc,2024-11-01,8815.94
Perez LLC,2024-11-01,8767.96
Garcia and Sons,2024-11-01,8752.869999999999
Torres and Sons,2024-11-01,8725.84
Johnson Ltd,2024-11-01,8711.359999999999
Perry Inc,2024-11-01,8695.8
Simpson PLC,2024-11-01,8654.73
Murray Ltd,2024-11-01,8651.27
Davis Inc,2024-11-01,8618.65
Miller Group,2024-11-01,8611.44
Morrison LLC,2024-11-01,8605.47
Brown Ltd,2024-11-01,8599.41
Richardson-Howard,2024-11-01,8546.52
Sutton LLC,2024-11-01,8539.380000000001
Kramer and Sons,2024-11-01,8487.01
Daniels Group,2024-11-01,8481.96
Henderson and Sons,2024-11-01,8473.369999999999
Cooper and Sons,2024-11-01,8468.53
Hoffman Inc,2024-11-01,8450.06
Crawford-Williams,2024-11-01,8441.4
Evans Inc,2024-11-01,8392.29
Perez Inc,2024-11-01,8384.91
Harper PLC,2024-11-01,8370.59
Hobbs Group,2024-11-01,8332.88
Hodges and Sons,2024-11-01,8316.39
Cook Ltd,2024-11-01,8312.880000000001
Bryant and Sons,2024-11-01,8307.67
Bailey Inc,2024-11-01,8295.279999999999
Brown PLC,2024-11-01,8270.55
Summers PLC,2024-11-01,8267.67
Fowler-Jones,2024-11-01,8240.8
Conner Group,2024-11-01,8234.08
Warren PLC,2024-11-01,8199.45
Martin LLC,2024-11-01,8196.21
Fisher Group,2024-11-01,8147.4
Lewis Inc,2024-11-01,8113.1900000000005
Moss and Sons,2024-11-01,8064.07
Rivera and Sons,2024-11-01,8035.21
Thompson LLC,2024-11-01,8026.17
Martin and Sons,2024-11-01,8020.68
Cardenas Group,2024-11-01,8019.83
Lee LLC,2024-11-01,8006.43
Taylor-Figueroa,2024-11-01,8003.41
Ruiz PLC,2024-11-01,7995.13
Duncan and Sons,2024-11-01,7971.02
Wilson and Sons,2024-11-01,7960.66
Mcmillan Ltd,2024-11-01,7943.93
Russell LLC,2024-11-01,7915.22
Miller-Davis,2024-11-01,7902.280000000001
Little PLC,2024-11-01,7888.94
Herrera Ltd,2024-11-01,7873.42
Washington Ltd,2024-11-01,7857.950000000001
Alvarez and Sons,2024-11-01,7799.139999999999
Olson and Sons,2024-11-01,7764.799999999999
Lane LLC,2024-11-01,7744.15
Anderson PLC,2024-11-01,7707.42
Nelson Ltd,2024-11-01,7698.84
Brewer Group,2024-11-01,7623.22
Miller PLC,2024-11-01,7617.75
Russell Inc,2024-11-01,7581.4800000000005
Lopez PLC,2024-11-01,7534.25
Thompson PLC,2024-11-01,7530.1900000000005
Jones Inc,2024-11-01,7509.58
Hill Group,2024-11-01,7505.610000000001
Robinson Ltd,2024-11-01,7487.469999999999
Simmons and Sons,2024-11-01,7487.07
Crawford LLC,2024-11-01,7445.84
Smith-Davis,2024-11-01,7424.73
Murray Inc,2024-11-01,7418.98
Keller PLC,2024-11-01,7394.38
Pena LLC,2024-11-01,7382.94
Hart-Evans,2024-11-01,7362.53
Patton and Sons,2024-11-01,7355.389999999999
Espinoza and Sons,2024-11-01,7353.049999999999
Hernandez Ltd,2024-11-01,7352.78
Roberts and Sons,2024-11-01,7340.49
Young Group,2024-11-01,7338.53
Sweeney Ltd,2024-11-01,7329.990000000001
Yu LLC,2024-11-01,7311.77
Jones Group,2024-11-01,7276.72
Edwards Group,2024-11-01,7274.8099999999995
Foster Group,2024-11-01,7269.18
Schmidt and Sons,2024-11-01,7252.92
Murphy PLC,2024-11-01,7170.91
Pace LLC,2024-11-01,7169.6900000000005
George LLC,2024-11-01,7139.629999999999
Clark and Sons,2024-11-01,7099.27
Clark PLC,2024-11-01,7097.52
Wells LLC,2024-11-01,7085.23
Jones-White,2024-11-01,7039.01
Bell Ltd,2024-11-01,6990.18
Martin Group,2024-11-01,6985.049999999999
Hall Ltd,2024-11-01,6919.2
Hernandez and Sons,2024-11-01,6910.12
Webb Group,2024-11-01,6907.2300000000005
Frank and Sons,2024-11-01,6904.73
Sullivan Inc,2024-11-01,6902.58
Manning and Sons,2024-11-01,6883.57
Allen PLC,2024-11-01,6873.0
James Ltd,2024-11-01,6823.11
Allen Group,2024-11-01,6815.71
Mitchell and Sons,2024-11-01,6787.63
Mendez Inc,2024-11-01,6778.4
Andrade-Hernandez,2024-11-01,6775.549999999999
Reed Group,2024-11-01,6770.619999999999
Parker PLC,2024-11-01,6769.07
Watkins and Sons,2024-11-01,6765.369999999999
Carroll Group,2024-11-01,6756.23
Davenport Group,2024-11-01,6752.69
Allen LLC,2024-11-01,6711.55
Melton LLC,2024-11-01,6673.719999999999
Johnson-Nguyen,2024-11-01,6656.07
Smith-Simmons,2024-11-01,6654.15
Mason and Sons,2024-11-01,6650.1
Gutierrez Ltd,2024-11-01,6639.0
Hansen and Sons,2024-11-01,6601.17
Cook Group,2024-11-01,6585.990000000001
Gonzales PLC,2024-11-01,6574.120000000001
Clark Group,2024-11-01,6550.41
Boyd PLC,2024-11-01,6544.62
Ramirez and Sons,2024-11-01,6526.51
Hill and Sons,2024-11-01,6518.08
Smith-Hill,2024-11-01,6492.59
Byrd LLC,2024-11-01,6478.14
Suarez Ltd,2024-11-01,6446.84
Lopez Inc,2024-11-01,6432.9
Scott Group,2024-11-01,6419.02
Hart and Sons,2024-11-01,6415.6
Richardson Ltd,2024-11-01,6412.820000000001
Harris Inc,2024-11-01,6410.6
White Ltd,2024-11-01,6408.28
King Inc,2024-11-01,6347.07
Price and Sons,2024-11-01,6294.78
White LLC,2024-11-01,6294.24
Wolfe and Sons,2024-11-01,6275.21
Boyd Ltd,2024-11-01,6260.389999999999
Adams Ltd,2024-11-01,6247.69
Reynolds PLC,2024-11-01,6237.75
Perry and Sons,2024-11-01,6236.72
Miller and Sons,2024-11-01,6231.02
Fernandez LLC,2024-11-01,6221.5
Jackson Ltd,2024-11-01,6206.32
Roberts PLC,2024-11-01,6168.0199999999995
Anderson LLC,2024-11-01,6150.73
Ramirez Inc,2024-11-01,6115.889999999999
Barrera PLC,2024-11-01,6101.09
Clark LLC,2024-11-01,6100.38
Sanders and Sons,2024-11-01,6098.86
Glover Inc,2024-11-01,6098.049999999999
Evans Group,2024-11-01,6066.84
Nelson Group,2024-11-01,6063.88
Hansen LLC,2024-11-01,5983.049999999999
Collins PLC,2024-11-01,5947.01
Palmer and Sons,2024-11-01,5945.02
Caldwell Group,2024-11-01,5937.88
Armstrong PLC,2024-11-01,5934.049999999999
Barton LLC,2024-11-01,5924.8
Phillips Group,2024-11-01,5916.8
Mann LLC,2024-11-01,5915.54
Warren and Sons,2024-11-01,5888.37
Stewart Inc,2024-11-01,5872.27
Williams-Henry,2024-11-01,5858.86
Adams and Sons,2024-11-01,5854.43
Salazar PLC,2024-11-01,5830.53
Fields and Sons,2024-11-01,5802.77
Hill PLC,2024-11-01,5790.06
Berry Ltd,2024-11-01,5788.05
Young LLC,2024-11-01,5755.63
Thompson Group,2024-11-01,5747.48
King-Sanchez,2024-11-01,5736.77
Lopez and Sons,2024-11-01,5734.05
Young-Thomas,2024-11-01,5729.59
Mason Inc,2024-11-01,5714.530000000001
Gutierrez Group,2024-11-01,5664.540000000001
Robinson Group,2024-11-01,5663.33
Richardson Group,2024-11-01,5652.09
Dixon and Sons,2024-11-01,5650.08
Davis and Sons,2024-11-01,5646.04
Owens and Sons,2024-11-01,5626.139999999999
Parker Group,2024-11-01,5622.5199999999995
Campbell Inc,2024-11-01,5612.75
Gonzalez Group,2024-11-01,5584.23
Myers Ltd,2024-11-01,5535.5599999999995
Hughes LLC,2024-11-01,5518.09
Ortiz PLC,2024-11-01,5510.17
Campbell LLC,2024-11-01,5500.96
Mills Group,2024-11-01,5484.42
Rice LLC,2024-11-01,5441.4
Ward Ltd,2024-11-01,5436.849999999999
Guerra LLC,2024-11-01,5420.09
Cole-Villegas,2024-11-01,5394.75
Moore Inc,2024-11-01,5391.6
Moore PLC,2024-11-01,5380.15
Long and Sons,2024-11-01,5365.09
Tran Inc,2024-11-01,5350.49
Hicks Inc,2024-11-01,5339.719999999999
Ryan Inc,2024-11-01,5333.54
Cohen Inc,2024-11-01,5313.08
Gilbert and Sons,2024-11-01,5311.76
Clark Inc,2024-11-01,5310.12
Dean PLC,2024-11-01,5260.1
Richardson and Sons,2024-11-01,5220.95
Harper LLC,2024-11-01,5179.0
Garcia-Jackson,2024-11-01,5176.6
Howard Group,2024-11-01,5158.4
Wright Ltd,2024-11-01,5153.610000000001
Vasquez Inc,2024-11-01,5151.3
Lynch PLC,2024-11-01,5145.99
Anderson Ltd,2024-11-01,5137.59
Simon PLC,2024-11-01,5114.02
Graham PLC,2024-11-01,5104.780000000001
Stewart LLC,2024-11-01,5092.79
Lee and Sons,2024-11-01,5074.650000000001
Carpenter Inc,2024-11-01,5069.299999999999
Cook and Sons,2024-11-01,5059.25
Roberts LLC,2024-11-01,5051.48
Collins LLC,2024-11-01,5042.72
Hall Group,2024-11-01,5039.88
Martinez PLC,2024-11-01,5021.69
"Mitchell, Lee and Brown",2024-11-01,4999.7
"Wilson, Pham and Hill",2024-11-01,4998.98
Crawford-Thomas,2024-11-01,4998.81
Henderson LLC,2024-11-01,4997.03
"Williams, Hale and Leon",2024-11-01,4996.54
Byrd-Campbell,2024-11-01,4996.16
Cummings-Thompson,2024-11-01,4996.07
Willis Group,2024-11-01,4994.94
"Sullivan, Washington and Olson",2024-11-01,4992.71
"Martin, Torres and Carroll",2024-11-01,4991.47
Cabrera-Martinez,2024-11-01,4991.31
Mcknight Group,2024-11-01,4991.030000000001
"Wilson, Reed and Aguirre",2024-11-01,4990.91
Fields-Potts,2024-11-01,4990.7
"Flores, Wilson and Rodriguez",2024-11-01,4990.59
"Stone, Nguyen and Morrow",2024-11-01,4990.57
Morris-French,2024-11-01,4990.21
"Murray, Scott and Rivas",2024-11-01,4988.55
"Williams, Smith and Henson",2024-11-01,4987.89
Kelly-Bryant,2024-11-01,4986.97
"Diaz, Cox and Jenkins",2024-11-01,4985.47
Levy Inc,2024-11-01,4985.37
"Sawyer, Howe and Vazquez",2024-11-01,4985.19
"Anderson, Hernandez and Crawford",2024-11-01,4985.14
"Holland, Copeland and Soto",2024-11-01,4984.4
Carpenter-Sheppard,2024-11-01,4984.39
"Tucker, Coleman and Peterson",2024-11-01,4984.36
Collier LLC,2024-11-01,4983.72
Bryant Inc,2024-11-01,4983.12
"Coleman, Farmer and Lee",2024-11-01,4982.98
"Steele, Banks and Johnson",2024-11-01,4982.2
"Bruce, Hernandez and Richardson",2024-11-01,4982.17
Weeks LLC,2024-11-01,4981.3
Tucker Group,2024-11-01,4978.95
Woods-Moreno,2024-11-01,4978.64
"Mitchell, Mack and Merritt",2024-11-01,4978.56
"Martinez, Ramos and Cox",2024-11-01,4976.8
"Shaw, Lopez and Crawford",2024-11-01,4976.14
"Gonzalez, Lee and Carter",2024-11-01,4975.07
Salas-Ryan,2024-11-01,4974.05
Peters PLC,2024-11-01,4972.86
"Reynolds, Smith and Stevens",2024-11-01,4972.66
Gonzalez-Ramirez,2024-11-01,4969.49
Underwood Inc,2024-11-01,4967.879999999999
Joyce-Koch,2024-11-01,4967.72
Zuniga-Martin,2024-11-01,4966.82
Ward-Davis,2024-11-01,4966.5
"Tapia, Moore and Tucker",2024-11-01,4965.92
Rhodes-Weaver,2024-11-01,4965.45
Oneill-Hayes,2024-11-01,4964.99
Fox-Gill,2024-11-01,4964.56
Ray-Bell,2024-11-01,4963.86
Murphy-Chang,2024-11-01,4963.14
White-Brown,2024-11-01,4961.39
Robinson PLC,2024-11-01,4960.9400000000005
Ramirez-Barnes,2024-11-01,4960.79
Savage Group,2024-11-01,4960.61
Tyler Inc,2024-11-01,4960.41
"Wall, Bradley and Manning",2024-11-01,4960.24
"Weeks, Wade and Frank",2024-11-01,4956.54
Lloyd-Wilson,2024-11-01,4956.51
"Farmer, Bolton and West",2024-11-01,4955.77
Chang-Rhodes,2024-11-01,4955.34
Bond and Sons,2024-11-01,4954.67
Gibson-Peterson,2024-11-01,4954.65
"Newton, Paul and Craig",2024-11-01,4953.2
Mcbride-Thomas,2024-11-01,4953.09
"Garcia, Brooks and Nguyen",2024-11-01,4950.71
Charles-Jimenez,2024-11-01,4950.7
"Simpson, Scott and Morales",2024-11-01,4950.5
Sweeney-Dixon,2024-11-01,4949.37
Mitchell-Jackson,2024-11-01,4948.42
"Brown, Morris and Lewis",2024-11-01,4948.39
Wallace-Flores,2024-11-01,4948.22
"Baker, Dunn and Vance",2024-11-01,4946.79
"Mcneil, Peterson and Stone",2024-11-01,4945.94
Macdonald LLC,2024-11-01,4943.14
Cole-Wood,2024-11-01,4942.75
"Beard, Bowman and Kent",2024-11-01,4942.55
"Williams, Oneill and Gutierrez",2024-11-01,4941.76
"Brown, Massey and Hoover",2024-11-01,4941.25
Mcintyre LLC,2024-11-01,4941.02
Saunders Inc,2024-11-01,4939.25
Brooks-Simmons,2024-11-01,4938.41
Jimenez-White,2024-11-01,4937.87
Li and Sons,2024-11-01,4936.28
Green-Johnson,2024-11-01,4935.69
"Golden, Davis and Pierce",2024-11-01,4935.11
"Hines, Miller and Mendoza",2024-11-01,4934.79
Jennings-Smith,2024-11-01,4934.06
"Price, Marshall and Cochran",2024-11-01,4934.01
Holt LLC,2024-11-01,4933.41
"Webb, Smith and Williams",2024-11-01,4932.84
Castillo-Lewis,2024-11-01,4932.84
"Cochran, Jones and Richardson",2024-11-01,4932.36
Anderson-James,2024-11-01,4932.0
"Dixon, Floyd and Bradley",2024-11-01,4930.88
Roberts Group,2024-11-01,4930.39
"Livingston, Perry and Adams",2024-11-01,4928.95
Hill-Carter,2024-11-01,4928.3
Davis-Boone,2024-11-01,4927.59
Brady LLC,2024-11-01,4927.57
Yang-Delacruz,2024-11-01,4927.31
Arroyo and Sons,2024-11-01,4925.76
"Lopez, Collins and Brown",2024-11-01,4925.23
Moore-Allen,2024-11-01,4923.22
Whitney-Walker,2024-11-01,4922.04
Larson LLC,2024-11-01,4921.09
Chen-Sparks,2024-11-01,4920.16
Jensen-Russell,2024-11-01,4920.13
Avery-Kaufman,2024-11-01,4919.71
"Mcclain, Tran and Sherman",2024-11-01,4919.38
Foster-Thompson,2024-11-01,4917.98
"Knox, Parker and Luna",2024-11-01,4917.48
Hall-Clements,2024-11-01,4917.46
Perez-Benson,2024-11-01,4916.79
"Bridges, Hill and Howell",2024-11-01,4916.22
"Warner, Ellis and Leach",2024-11-01,4915.73
Wilkinson Ltd,2024-11-01,4915.55
"Scott, Hawkins and Williamson",2024-11-01,4913.89
"Todd, Lam and Koch",2024-11-01,4912.81
"Campbell, Johnson and Caldwell",2024-11-01,4912.0
Rodriguez Ltd,2024-11-01,4911.25
Lopez-Wilcox,2024-11-01,4911.05
Mendoza Ltd,2024-11-01,4909.0
"Mcmillan, Whitaker and Mcneil",2024-11-01,4907.21
Fleming-Ramos,2024-11-01,4907.12
"Smith, Smith and Aguilar",2024-11-01,4907.06
"Gregory, Reynolds and Henderson",2024-11-01,4906.19
"Robinson, Lawson and Nguyen",2024-11-01,4903.4
Jackson-Simmons,2024-11-01,4903.36
Cole-Anderson,2024-11-01,4902.22
"King, Moore and White",2024-11-01,4902.1
"Collins, Pacheco and Vincent",2024-11-01,4901.93
"Davis, Davis and Randolph",2024-11-01,4900.23
"Stone, Howard and Smith",2024-11-01,4899.23
Bennett Group,2024-11-01,4898.15
Garcia-Lopez,2024-11-01,4897.69
"Matthews, Romero and Nash",2024-11-01,4897.49
Davila-Barrett,2024-11-01,4897.17
"Zimmerman, Nguyen and Sanchez",2024-11-01,4896.97
Jackson-Davis,2024-11-01,4896.69
Wong-Nelson,2024-11-01,4896.08
Silva-Gray,2024-11-01,4895.63
"Cook, Morrison and Howard",2024-11-01,4893.09
Lopez-Russell,2024-11-01,4892.44
Becker Inc,2024-11-01,4889.25
Harrington-Chambers,2024-11-01,4889.07
Bishop Ltd,2024-11-01,4888.34
"Anderson, Graves and Mcgee",2024-11-01,4886.95
"Cooper, Smith and Odonnell",2024-11-01,4886.73
Owen Ltd,2024-11-01,4886.34
Smith-Flores,2024-11-01,4885.26
Smith-Mullins,2024-11-01,4884.81
Perry Ltd,2024-11-01,4884.74
Johnson-Payne,2024-11-01,4884.59
"Wilkins, Hayes and Lawrence",2024-11-01,4884.42
Rodriguez-Jackson,2024-11-01,4884.15
"Cardenas, Duran and Foley",2024-11-01,4884.01
Kennedy-Morales,2024-11-01,4883.87
Benjamin Ltd,2024-11-01,4883.74
"Miranda, Lewis and Reyes",2024-11-01,4883.14
Stein-Williams,2024-11-01,4883.11
Lopez-Richardson,2024-11-01,4882.56
"Freeman, Castillo and Steele",2024-11-01,4882.36
Baker PLC,2024-11-01,4882.0
"Smith, Smith and Patterson",2024-11-01,4882.0
Baker Inc,2024-11-01,4881.76
Medina-Garcia,2024-11-01,4879.61
Sexton LLC,2024-11-01,4879.44
Bryant-Cook,2024-11-01,4879.44
Shepard Group,2024-11-01,4877.96
Estes-Lambert,2024-11-01,4876.8
"Hendricks, King and Brown",2024-11-01,4875.44
"Butler, Cox and Henry",2024-11-01,4874.33
Livingston-Williams,2024-11-01,4872.98
Myers LLC,2024-11-01,4872.34
Black-Mckinney,2024-11-01,4871.44
"Ruiz, Parsons and Kerr",2024-11-01,4871.15
Hughes-Tucker,2024-11-01,4869.8
Crane LLC,2024-11-01,4869.53
"Hardy, Conner and Bentley",2024-11-01,4869.26
"Rodriguez, Cole and Bradshaw",2024-11-01,4869.09
Ellison-Snow,2024-11-01,4868.52
"Walton, Lang and Deleon",2024-11-01,4867.25
Mills-Williams,2024-11-01,4865.94
"Padilla, Doyle and Wilson",2024-11-01,4865.93
Horn-Howell,2024-11-01,4864.94
"Rodriguez, Johnson and Hughes",2024-11-01,4863.96
"Morse, Allen and Bishop",2024-11-01,4863.38
Johnson-Perez,2024-11-01,4862.91
Caldwell-Griffin,2024-11-01,4862.87
Williams-Elliott,2024-11-01,4862.41
"Black, Green and Wilson",2024-11-01,4861.94
"Johnson, Williamson and Trevino",2024-11-01,4861.21
"Chen, Goodwin and Burke",2024-11-01,4860.95
Pena and Sons,2024-11-01,4860.4
"Sampson, Montoya and Ballard",2024-11-01,4858.15
"Morales, Wright and Nelson",2024-11-01,4858.09
Simpson-Dorsey,2024-11-01,4857.39
Wells-Weber,2024-11-01,4856.99
Ruiz Group,2024-11-01,4855.65
"Merritt, Hunt and Padilla",2024-11-01,4854.94
"Turner, Scott and Clark",2024-11-01,4854.54
Underwood-Newton,2024-11-01,4853.46
Velazquez Inc,2024-11-01,4853.15
Hernandez-Weaver,2024-11-01,4852.57
"Jones, Wright and Chavez",2024-11-01,4850.89
"Rush, Stevens and Riley",2024-11-01,4849.3
King and Sons,2024-11-01,4849.3
Castro-Stein,2024-11-01,4849.08
"Thompson, Cook and Jones",2024-11-01,4849.08
Duke-Torres,2024-11-01,4849.02
Smith-Cohen,2024-11-01,4848.72
Reynolds Inc,2024-11-01,4846.81
"Salinas, Pearson and Jordan",2024-11-01,4846.71
Schaefer PLC,2024-11-01,4846.26
Obrien-Gray,2024-11-01,4846.04
"Gibson, Bentley and Smith",2024-11-01,4844.76
"Mccarthy, Stevenson and Barber",2024-11-01,4844.69
Avila and Sons,2024-11-01,4843.66
"Ross, May and Robertson",2024-11-01,4842.67
Aguilar PLC,2024-11-01,4842.4
"Simpson, Reynolds and Hughes",2024-11-01,4842.19
Carpenter Group,2024-11-01,4842.18
Cox-Williams,2024-11-01,4841.52
Gibbs Inc,2024-11-01,4841.3
Norris PLC,2024-11-01,4840.84
West Inc,2024-11-01,4840.24
Hall-Savage,2024-11-01,4839.67
"Webster, Mcdowell and Johnson",2024-11-01,4839.28
"Sanchez, Allison and Wiley",2024-11-01,4838.64
Robbins PLC,2024-11-01,4838.03
Allen and Sons,2024-11-01,4837.879999999999
"Schroeder, Flores and Wall",2024-11-01,4837.49
Martinez-Braun,2024-11-01,4836.05
"Weaver, Hernandez and Gibson",2024-11-01,4833.76
Dixon Inc,2024-11-01,4832.17
"Villarreal, Johnson and Davis",2024-11-01,4831.59
Barrett PLC,2024-11-01,4831.15
"Brown, Walton and Sanchez",2024-11-01,4829.92
Adams-Ho,2024-11-01,4828.0
Cruz-Kennedy,2024-11-01,4827.29
Stanley PLC,2024-11-01,4826.59
Lambert-Coleman,2024-11-01,4826.4
Casey Inc,2024-11-01,4823.75
"Williams, Mcneil and Sosa",2024-11-01,4822.8
Collins and Sons,2024-11-01,4822.200000000001
Barnett-Henry,2024-11-01,4822.15
"Rodriguez, Johnston and Lopez",2024-11-01,4821.4
Gillespie Ltd,2024-11-01,4821.36
Thomas-Evans,2024-11-01,4821.34
Petty LLC,2024-11-01,4820.38
"Espinoza, Delgado and Burns",2024-11-01,4819.42
Evans-Butler,2024-11-01,4818.38
Osborne-Smith,2024-11-01,4817.49
"Parker, Munoz and West",2024-11-01,4816.96
Hernandez-Miranda,2024-11-01,4815.26
Sullivan-Craig,2024-11-01,4814.6
Santos-Kaiser,2024-11-01,4812.9
Henderson Ltd,2024-11-01,4812.88
Smith-Rose,2024-11-01,4812.69
Dougherty Ltd,2024-11-01,4812.43
Rodriguez-Sanders,2024-11-01,4809.97
Bishop-Walters,2024-11-01,4809.64
Richards PLC,2024-11-01,4809.49
"Luna, Cox and Walker",2024-11-01,4809.33
Stevens Inc,2024-11-01,4808.45
Howard-Dean,2024-11-01,4808.2
"Guzman, Peck and Whitehead",2024-11-01,4806.72
"Gonzales, Guerra and Martin",2024-11-01,4806.55
Bennett PLC,2024-11-01,4805.7
"Alvarez, Daniel and Campbell",2024-11-01,4804.57
Howard-Bell,2024-11-01,4800.87
Murray Group,2024-11-01,4800.81
"Miller, Manning and Taylor",2024-11-01,4800.31
Conner-Jones,2024-11-01,4799.92
"Allen, Fitzgerald and Gates",2024-11-01,4799.7
"Patterson, Davis and Brown",2024-11-01,4799.6
Hunter-Gonzales,2024-11-01,4798.96
Dalton-Willis,2024-11-01,4797.74
"Gomez, Wright and Rhodes",2024-11-01,4797.39
"Morgan, Mcdonald and Maxwell",2024-11-01,4797.34
"Anderson, Hutchinson and Taylor",2024-11-01,4797.33
Chung Ltd,2024-11-01,4797.32
"Brooks, West and Wood",2024-11-01,4797.22
Lee-Johnson,2024-11-01,4796.93
Mckinney-Mata,2024-11-01,4796.32
Jacobs LLC,2024-11-01,4796.04
Henry and Sons,2024-11-01,4795.79
"Jones, Jenkins and Eaton",2024-11-01,4795.48
"Clark, Miller and Horton",2024-11-01,4794.89
"Novak, Kane and Kim",2024-11-01,4794.02
Wallace Ltd,2024-11-01,4793.58
Owens-Hernandez,2024-11-01,4792.55
Hall-Carr,2024-11-01,4791.7
Meadows-Zimmerman,2024-11-01,4790.82
Spence PLC,2024-11-01,4790.57
Austin-Warner,2024-11-01,4789.74
Perez Group,2024-11-01,4789.26
"Lara, Hodges and Sullivan",2024-11-01,4788.9
Baldwin Group,2024-11-01,4788.4
"Knox, Barnett and Price",2024-11-01,4787.8
Stokes-Ramos,2024-11-01,4787.01
"Powell, Cohen and Jackson",2024-11-01,4784.66
Jenkins LLC,2024-11-01,4783.39
Kim-Robinson,2024-11-01,4783.27
Sexton Inc,2024-11-01,4782.37
Acosta Inc,2024-11-01,4781.95
Robertson-Mills,2024-11-01,4780.16
Baldwin Ltd,2024-11-01,4779.39
"Morales, Hardy and Washington",2024-11-01,4779.17
Hudson Group,2024-11-01,4779.12
Bailey-Bowers,2024-11-01,4778.74
"Henderson, Russell and Jackson",2024-11-01,4778.66
"Mckee, Nguyen and Burns",2024-11-01,4778.32
"Castillo, Franklin and Moore",2024-11-01,4777.91
"Mathis, Montgomery and Levine",2024-11-01,4777.53
Franklin-Andrade,2024-11-01,4776.36
Lopez LLC,2024-11-01,4775.98
Wood-Warren,2024-11-01,4775.8
Bonilla-Davis,2024-11-01,4774.68
"Castillo, Kerr and Schmitt",2024-11-01,4772.94
