current_loan_delinquency_status,avg_legal_costs,avg_maintenance_costs,avg_taxes_insurance,avg_total_cost
131,-8482.14,-8696.71,-52264.27,-69443.13
132,-12828.07,-4855.14,-86948.64,-104631.85
133,-7023.66,-822.6,-23034.23,-30880.5
134,-8004.67,-5386.12,-79786.3,-93177.09
135,-20695.08,-795.71,-45338.19,-66828.98
136,-9022.08,-6048.48,-31071.13,-46141.69
137,-3848.12,-1968.33,-59897.81,-65714.25
138,-8243.75,-18388.48,-161290.86,-187923.08
139,-14569.58,-2939.44,-75841.96,-93350.98
14,-1519.84,-320.29,-2143.91,-3984.04
140,-53.0,-4065.65,-22261.98,-26380.64
141,-10361.18,-5686.18,-39181.74,-55229.1
142,-4521.85,-13744.7,-59465.43,-77731.99
143,-4226.19,-10785.1,-49383.69,-64394.98
144,-5160.32,-1300.66,-17890.56,-24351.54
145,0.0,0.0,0.0,0.0
146,-3071.35,-5542.11,-34200.03,-42813.49
147,-3195.18,-4420.62,-42932.25,-50548.05
148,-8320.22,-531.99,-5463.16,-14315.37
149,-28671.33,-7531.8,-53996.02,-90199.15
15,-1660.84,-371.87,-2531.23,-4563.94
150,-3982.32,-8688.85,-76833.92,-89505.1
151,-11965.13,-3624.49,-24256.75,-39846.36
152,-15571.77,-21300.02,-25014.19,-61885.98
153,0.0,0.0,0.0,0.0
154,-4534.16,-1227.5,-29917.76,-35679.41
155,-18857.55,-5135.48,-114454.91,-138447.94
156,-758.75,-7039.38,-51949.22,-59747.34
157,-13296.54,-8418.31,-122351.61,-144066.45
158,-5259.09,-6860.44,-65936.91,-78056.43
159,-5954.58,-3988.17,-10265.72,-20208.47
16,-1799.84,-416.71,-2773.12,-4989.68
160,-13345.04,-31776.73,-56745.34,-101867.11
161,-9.45,-65.0,-37462.38,-37536.83
162,-5984.26,-5977.9,-59643.62,-71605.78
163,-22437.54,-95061.24,-53856.87,-171355.65
164,0.0,0.0,0.0,0.0
165,0.0,0.0,0.0,0.0
166,-5230.4,-170122.06,-178907.26,-354259.72
167,-17904.31,-160446.73,-30802.22,-209153.26
168,-94505.42,-1125.58,-54230.59,-149861.59
169,-177.17,-4445.86,-21605.46,-26228.49
17,-1957.54,-477.2,-3251.96,-5686.7
170,-16624.62,-94052.0,-307793.17,-418469.79
171,0.0,0.0,0.0,0.0
172,-39119.97,-42095.49,-112600.38,-193815.84
173,0.0,-8977.31,-25992.83,-34970.14
174,-102849.9,-18587.64,-211562.5,-333000.04
175,-7389.65,-518.33,-53141.83,-61049.82
176,0.0,0.0,0.0,0.0
177,0.0,0.0,0.0,0.0
178,-78.5,-15266.44,-73740.45,-89085.39
179,-6305.54,-206.0,-30757.61,-37269.14
18,-1985.09,-522.57,-3555.5,-6063.15
180,0.0,-5219.83,-3382.16,-8601.99
181,-12418.3,-347.25,-14349.03,-27114.58
182,0.0,0.0,0.0,0.0
183,0.0,0.0,0.0,0.0
184,0.0,0.0,0.0,0.0
185,0.0,0.0,0.0,0.0
186,-1108.14,-11525.2,-80748.89,-93382.24
187,-2561.85,-24933.92,-18290.2,-45785.97
188,0.0,0.0,0.0,0.0
189,0.0,0.0,0.0,0.0
19,-2151.26,-621.03,-3848.22,-6620.5
190,0.0,0.0,0.0,0.0
191,0.0,0.0,0.0,0.0
193,0.0,0.0,0.0,0.0
196,0.0,0.0,0.0,0.0
197,0.0,0.0,0.0,0.0
198,0.0,0.0,0.0,0.0
199,0.0,0.0,0.0,0.0
2,-0.78,-0.34,-1.75,-2.87
20,-2237.54,-641.58,-4130.43,-7009.55
21,-2322.6,-725.95,-4438.53,-7487.08
22,-2422.19,-802.1,-4793.38,-8017.67
23,-2494.52,-879.31,-5313.06,-8686.88
24,-2544.97,-901.19,-5550.09,-8996.24
25,-2696.03,-912.43,-6157.74,-9766.2
26,-2674.68,-929.75,-6245.98,-9850.41
27,-2858.34,-990.64,-7024.09,-10873.06
28,-2908.74,-1122.37,-7159.14,-11190.25
29,-2936.22,-1405.12,-7624.81,-11966.16
3,-3.42,-1.32,-19.35,-24.1
30,-2848.01,-1360.49,-7687.54,-11896.05
31,-3115.61,-1373.2,-8560.77,-13049.58
32,-3184.53,-1581.16,-8859.01,-13624.69
33,-3338.71,-1604.53,-9303.93,-14247.17
34,-3357.59,-1818.79,-9606.84,-14783.23
35,-3314.04,-1458.11,-9803.74,-14575.88
36,-3436.17,-1805.56,-10327.97,-15569.71
37,-3335.83,-1790.66,-10077.68,-15204.18
38,-3684.43,-1827.42,-12108.21,-17620.06
39,-3586.7,-2071.54,-12019.47,-17677.71
4,-21.02,-6.52,-91.53,-119.07
40,-3682.64,-1967.15,-13043.41,-18693.2
41,-3770.56,-2161.48,-12578.15,-18510.18
42,-3715.67,-2064.13,-13586.17,-19365.96
43,-3806.02,-2108.02,-13501.74,-19415.78
44,-3985.41,-2887.48,-15299.68,-22172.58
45,-4158.46,-2658.82,-16233.32,-23050.6
46,-4169.82,-2305.79,-15605.35,-22080.96
47,-4470.94,-2607.96,-15385.12,-22464.01
48,-4161.14,-2616.5,-16429.23,-23206.88
49,-4505.73,-2781.35,-18131.11,-25418.18
5,-90.0,-15.13,-199.99,-305.13
50,-4590.33,-2446.71,-17244.41,-24281.44
51,-4715.85,-2457.26,-18000.13,-25173.24
52,-4468.41,-2534.82,-17451.96,-24455.18
53,-5022.99,-2065.25,-19986.56,-27074.8
54,-5086.27,-2441.73,-20607.22,-28135.22
55,-5141.79,-2745.14,-20487.64,-28374.57
56,-4800.24,-2401.33,-20375.25,-27576.82
57,-4762.95,-2347.7,-22299.08,-29409.73
58,-5198.76,-2408.06,-22304.71,-29911.53
59,-5237.73,-2577.32,-24085.96,-31901.01
6,-267.32,-35.37,-396.3,-698.99
60,-5583.12,-2603.82,-25566.07,-33753.01
61,-5339.45,-2577.5,-24572.81,-32489.76
62,-5576.82,-2752.24,-29123.45,-37452.52
63,-5540.34,-3001.32,-26019.7,-34561.36
64,-5229.6,-2719.75,-25335.37,-33284.72
65,-6006.43,-2543.95,-28570.17,-37120.56
66,-5690.86,-2890.58,-28711.96,-37293.4
67,-6822.39,-2680.4,-29875.05,-39377.84
68,-6397.83,-3087.86,-31394.38,-40880.06
69,-6529.96,-2648.53,-32662.75,-41841.24
7,-499.55,-65.46,-633.82,-1198.84
70,-5980.26,-2766.37,-31570.74,-40317.36
71,-6529.01,-2581.71,-32689.7,-41800.42
72,-6340.7,-3632.76,-33037.88,-43011.34
73,-6868.32,-3380.02,-36525.41,-46773.76
74,-6856.22,-3251.19,-32716.0,-42823.41
75,-6832.54,-4200.41,-36119.37,-47152.32
76,-6320.77,-3345.0,-34032.0,-43697.76
77,-7576.84,-3755.23,-34480.7,-45812.77
78,-7358.54,-3596.66,-38082.52,-49037.72
79,-7235.02,-2951.55,-37648.54,-47835.1
8,-680.93,-90.97,-821.39,-1593.29
80,-6955.57,-4271.37,-38121.1,-49348.04
81,-9033.61,-4623.12,-36731.19,-50387.92
82,-7409.13,-4182.44,-44017.06,-55608.64
83,-8134.49,-4018.88,-45296.74,-57450.11
84,-7383.18,-3967.06,-44417.32,-55767.56
85,-6713.93,-3696.59,-39126.76,-49537.28
86,-7870.07,-4667.21,-42110.58,-54647.86
87,-7485.78,-5123.38,-47595.84,-60205.01
88,-7611.73,-4708.29,-43415.45,-55735.46
89,-6852.28,-4588.79,-39796.36,-51237.42
9,-836.37,-125.2,-1027.41,-1988.98
90,-7065.29,-4119.28,-42133.32,-53317.89
91,-6993.97,-5452.55,-47831.91,-60278.42
92,-8029.76,-5000.34,-40666.57,-53696.67
93,-6210.14,-5155.07,-42614.34,-53979.55
94,-5713.55,-6149.71,-39582.56,-51445.82
95,-7985.35,-5147.77,-54958.96,-68092.08
96,-6132.2,-6576.08,-44552.92,-57261.2
97,-6310.53,-6403.86,-46292.33,-59006.72
98,-9137.67,-4801.03,-47058.17,-60996.87
99,-7920.21,-1779.68,-34176.42,-43876.31
RA,-3880.45,-7641.15,-6013.89,-17535.49
