merchant_name,avg_txn_value
"Patel, Williams and Brown",4995.55
"Anderson, Sanchez and Shields",4995.55
"Phillips, Jones and Acosta",4995.51
"Campbell, Small and Rowe",4995.33
"Hansen, Holland and Davis",4995.06
Boone-Cobb,4994.93
Gonzalez-Howe,4994.93
Roy Ltd,4994.9
Williams-Phelps,4994.68
Howard-Woods,4994.6
"Cooper, Cardenas and Wright",4994.59
Lewis-Mccoy,4994.54
Simmons-Lopez,4994.37
"Tyler, Schmidt and Gregory",4994.36
"Alvarado, Cooke and Rodgers",4994.35
King-Clay,4994.32
"Sandoval, White and Torres",4994.31
Blake-Erickson,4994.23
Mercado-Austin,4994.15
"Benjamin, Heath and Juarez",4994.11
Jones-Garza,4994.11
"Schmidt, Marks and Dickson",4993.71
"Santos, Richardson and Jefferson",4993.6
Vaughn LLC,4993.6
Richards-Hansen,4993.57
Hardy-Lewis,4993.54
Cole-Ramsey,4993.45
Cochran-Simmons,4993.43
"Mcbride, Bell and Reed",4993.24
"Myers, Rodriguez and Jackson",4993.22
"Brown, Robinson and Parsons",4992.99
Johnston-Peterson,4992.75
"Sullivan, Washington and Olson",4992.71
"Hancock, Wilson and Alvarez",4992.71
Flores-Russell,4992.64
Waller-Martin,4992.5
"Wells, Richard and Moreno",4992.33
Avila-Baker,4992.3
Quinn-Carpenter,4992.3
"Thompson, Fleming and Harris",4992.24
"Robbins, Jenkins and Garcia",4992.23
Thompson-Stokes,4992.16
Davis-Alexander,4992.15
Porter-Richards,4991.9
Munoz-Poole,4991.88
Rowe-Garrett,4991.88
"King, Smith and Ward",4991.68
Rodriguez-Jones,4991.57
"Martin, Torres and Carroll",4991.47
Dawson-Luna,4991.36
Whitehead-Brown,4991.21
"Noble, Miller and Maxwell",4990.93
"Wilson, Reed and Aguirre",4990.91
"Adams, Ellis and Black",4990.78
Davis-Ritter,4990.72
Fields-Potts,4990.7
Baldwin-Stone,4990.64
"Vargas, Lutz and Day",4990.62
"Flores, Wilson and Rodriguez",4990.59
"Stone, Nguyen and Morrow",4990.57
"Keller, Cruz and Erickson",4990.52
Reed-Perez,4990.52
Patterson-Yang,4990.34
Morris-French,4990.21
Manning-Jones,4990.18
"Henderson, Hoffman and Rogers",4990.14
"Kline, Green and Phillips",4990.09
"Sparks, Riggs and Kline",4989.88
"Smith, Johnson and Molina",4989.81
"Davidson, Chaney and Rodriguez",4989.75
Bennett-Lee,4989.71
King-White,4989.62
Williams-Hancock,4989.6
"Castillo, Shelton and Banks",4989.36
"Gillespie, Hill and Edwards",4989.36
"Hernandez, Miller and Peterson",4989.34
"Campbell, Brown and Kim",4989.14
David-King,4988.89
Coleman-Webster,4988.85
"Hughes, Monroe and Green",4988.73
Taylor-Solis,4988.67
"Ewing, Lucero and Delgado",4988.57
"Murray, Scott and Rivas",4988.55
Lopez-Macdonald,4988.46
"Daniel, Nunez and West",4988.36
Salazar-Thomas,4988.31
"Morse, Erickson and Stevens",4988.25
"Anderson, Evans and Johnson",4988.23
"Gallagher, Reynolds and Bennett",4988.17
"Patel, Whitney and Jefferson",4988.08
"Williams, Smith and Henson",4987.89
Taylor-Butler,4987.77
Ward-Delgado,4987.75
Brown-David,4987.72
"Jackson, Welch and Martin",4987.67
"Alexander, Oliver and Johnson",4987.62
"Williams, Gomez and Tucker",4987.51
"Tran, Lewis and Butler",4987.42
"Hall, Cook and Gonzales",4987.3
"Martinez, Thomas and Pitts",4987.16
"Freeman, Lynch and Singleton",4987.16
Kelly-Bryant,4986.97
Dennis-Ferrell,4986.91
Ryan-Chen,4986.82
Stokes-Simmons,4986.67
Yoder-Pace,4986.62
Mccarthy-Doyle,4986.58
"Robinson, Miller and Davidson",4986.48
Banks-Moody,4986.4
"Roberts, Williams and Allen",4986.39
"Smith, Thompson and Hudson",4986.21
"Rodriguez, Castaneda and Lewis",4986.21
Clark-Hayes,4986.18
"Hardin, Parrish and Reed",4986.12
"Barajas, Foster and Martin",4985.88
Gordon-Bruce,4985.81
Jenkins-Reyes,4985.76
"Ramos, Proctor and Wilson",4985.54
"Hess, Davenport and Yang",4985.54
"Alvarez, Griffin and Harrison",4985.48
"Diaz, Cox and Jenkins",4985.47
Harmon-James,4985.43
Spence-Vasquez,4985.41
Levy Inc,4985.37
Shelton-Donaldson,4985.33
"Sawyer, Howe and Vazquez",4985.19
Wells-Ortiz,4985.18
"Anderson, Hernandez and Crawford",4985.14
"Decker, Fletcher and Mcneil",4985.02
Moreno-Delgado,4984.85
"Brown, Diaz and Navarro",4984.84
Perez-Bender,4984.51
"Holland, Copeland and Soto",4984.4
"Mack, Johns and Simmons",4984.4
Carr-Pratt,4984.4
Cantu Inc,4984.4
"Thompson, Smith and Fuentes",4984.39
Carpenter-Sheppard,4984.39
"Tucker, Coleman and Peterson",4984.36
"Kelley, Mcknight and Austin",4984.25
Scott-Webb,4984.2
Garcia-Webb,4983.94
"Lyons, Martinez and Williams",4983.81
Powell-Ross,4983.77
"Young, Hill and Thomas",4983.74
Townsend-Johnson,4983.64
"Reese, Cox and Oneill",4983.61
"Montgomery, Kelly and Ellis",4983.39
Mcconnell-Wong,4983.08
"Coleman, Farmer and Lee",4982.98
"Hardy, Perkins and Dennis",4982.95
Nelson-Underwood,4982.93
Salinas-Martin,4982.85
"Sanchez, Webb and Cross",4982.81
Hess-York,4982.78
Montgomery-Munoz,4982.56
Morris-Bishop,4982.49
"Haney, Smith and Fleming",4982.36
"Wood, Dougherty and Walker",4982.28
"Dillon, Kaiser and Moon",4982.27
"Steele, Banks and Johnson",4982.2
"Bruce, Hernandez and Richardson",4982.17
Kim-Dominguez,4981.82
"Fields, Yoder and Campos",4981.59
Martinez-Cantu,4981.53
House and Sons,4981.5
"Gentry, Robertson and Smith",4981.28
Stanton-Gordon,4981.24
"Montgomery, Miller and Graham",4981.2
"Reeves, Barr and Shaw",4981.15
Stone-Bird,4980.97
"Compton, Alvarado and Romero",4980.86
"Long, Gonzales and George",4980.78
Gay-Burton,4980.74
"Lopez, Dunn and Hines",4980.69
Adams-Poole,4980.64
Bean-Wilson,4980.57
"Chavez, Mcdaniel and Davis",4980.38
Thomas-Blackwell,4980.04
Lee-Oneal,4980.02
"Snyder, Brock and Friedman",4979.94
"Larson, Jones and Martinez",4979.78
"Chang, Johnson and Day",4979.66
"Wallace, Wright and Walters",4979.52
Guerra-Matthews,4979.21
Benjamin LLC,4979.06
"Page, Parker and Brown",4978.71
Woods-Moreno,4978.64
"West, Ferguson and Molina",4978.6
"Mitchell, Mack and Merritt",4978.56
"Weaver, Torres and Hardin",4978.31
Taylor-Allison,4978.18
Barton-Baird,4978.04
"Arnold, Mcintyre and Garcia",4978.03
Mcclain LLC,4977.98
"Petty, Garcia and Conner",4977.89
"Durham, Baird and Andrews",4977.77
"Pham, Clarke and Kelly",4977.72
Anderson-Fowler,4977.71
Morrison-Tapia,4977.69
Crane-Casey,4977.32
"Leonard, Freeman and Martin",4977.25
"Farrell, Grant and Landry",4977.12
Ray-Mckinney,4977.04
Frost-Schroeder,4977.01
"Smith, Cobb and Young",4976.88
Best-Smith,4976.88
Jordan-Smith,4976.84
"Martinez, Ramos and Cox",4976.8
Moreno-Luna,4976.71
Fuentes-Winters,4976.62
Long-Anderson,4976.45
Hall-Pitts,4976.3
Baker-Sanders,4976.24
"Rose, Anderson and Davenport",4976.18
Mckay-Jones,4976.15
"Shaw, Lopez and Crawford",4976.14
Cowan-Cunningham,4976.07
"Lee, Stewart and Guzman",4975.96
"White, Young and Alvarado",4975.95
"Byrd, Stuart and Meza",4975.91
Bowman-Garza,4975.9
"Lewis, Pitts and Bailey",4975.64
"Dominguez, Monroe and Kirby",4975.63
Elliott-Gonzales,4975.51
"Davis, Mcbride and Johnson",4975.3
"Moore, Sloan and Jones",4975.13
"Gonzalez, Lee and Carter",4975.07
Anderson-Fletcher,4974.96
Hudson-Lewis,4974.95
"Bright, Green and Gaines",4974.84
"Long, Short and Garcia",4974.68
Austin-Miller,4974.56
"Singleton, Nunez and Shepard",4974.49
"Ramirez, Medina and Hernandez",4974.21
Aguilar-Miller,4974.08
Salas-Ryan,4974.05
"Rice, Scott and Johnson",4974.02
Wilson-Gordon,4974.0
Nelson-Chandler,4973.97
Cervantes-Wood,4973.95
"Peters, Shaffer and Walter",4973.93
"Hernandez, Douglas and Stewart",4973.92
Doyle-Castro,4973.9
"Palmer, Johnson and Cantu",4973.88
Wright-Ford,4973.87
Allen-Page,4973.69
Johnson-Perkins,4973.39
"Gomez, Deleon and Smith",4973.09
"Carter, Brown and Houston",4972.84
Webb-Freeman,4972.68
"Reynolds, Smith and Stevens",4972.66
"Smith, Terry and Salas",4972.61
"Willis, Graves and Nichols",4972.5
"Oliver, Bullock and Powell",4972.36
"Malone, Cook and King",4971.91
Hall-Mendoza,4971.86
Crawford-Fox,4971.84
Wilkins-Lawson,4971.75
"Strong, Johnson and Haas",4971.67
Day-Barton,4971.52
Willis-Perry,4971.5
Rodriguez-Hanson,4971.14
"Taylor, Cook and Smith",4971.13
"Boyd, Ho and Green",4971.12
Harrell-Thornton,4971.09
Campbell-Ryan,4970.64
"Sutton, Evans and Alvarez",4970.63
"Poole, Johnson and Young",4970.58
Warren-Acosta,4970.56
"Thompson, Mccormick and Howard",4970.53
"Adams, Jones and Harrison",4970.5
"Carroll, Harrell and Evans",4970.47
Haney-Martinez,4970.41
Skinner-Lynn,4970.4
"White, Robertson and Ryan",4970.37
King-Mueller,4970.24
"Mccarthy, Martin and Blackwell",4970.15
"Martin, Castro and Osborn",4969.95
Pollard-Campbell,4969.88
"Powell, Garcia and Williams",4969.82
"Foster, Mccarthy and Mitchell",4969.82
Clark-Stewart,4969.71
Henry-Johnson,4969.65
"Mcguire, Cooper and Cherry",4969.54
"Rice, Gonzalez and Huff",4969.47
Hall-Moreno,4969.43
"Solomon, Gonzalez and Campbell",4969.38
"Robinson, Ballard and Lynch",4969.3
Nelson-Gill,4969.3
Perry-Villa,4969.24
"Fitzgerald, Rhodes and Davis",4969.19
Jackson-Hernandez,4969.18
Fox-Brown,4969.09
"Alvarez, Green and Reeves",4969.06
Roach-Bailey,4968.87
"Gilmore, Andrews and Welch",4968.86
"Leach, Hooper and Wilson",4968.77
"Ruiz, Nguyen and Hodge",4968.72
"Phillips, Davila and Kim",4968.71
"Keller, Golden and Glenn",4968.66
Mejia-Camacho,4968.61
Webb-Harper,4968.58
Butler-Patel,4968.33
"Jackson, Hester and Stanley",4968.3
Glover-Hawkins,4968.28
Snyder-Valencia,4968.2
"Rogers, Woods and Alvarado",4968.08
"Bell, Thompson and Gilbert",4968.05
Johnson-Hopkins,4968.02
Sandoval-Taylor,4968.01
Morris-Tyler,4968.0
"Tanner, Roman and Gould",4967.89
Williams-Gentry,4967.88
Cruz-Christian,4967.84
"Carter, Meyer and Baker",4967.81
Joyce-Koch,4967.72
"Stewart, Cobb and Blankenship",4967.55
"Nguyen, Carter and Stewart",4967.52
"Cooper, Greene and Edwards",4967.45
Zuniga-Martin,4966.82
"Morgan, Hanson and Buckley",4966.69
Trevino Ltd,4966.68
"Garcia, Taylor and Mills",4966.57
"Patel, Coleman and Miller",4966.56
"Scott, Jordan and Day",4966.51
"Murphy, Zamora and Miller",4966.4
"Webb, Johnson and Morton",4966.39
"Ochoa, Hernandez and Johnson",4966.06
"Graves, Rogers and White",4966.04
"Greene, Thomas and Ashley",4965.98
"Hunter, Turner and Payne",4965.98
Turner-Perez,4965.93
"Tapia, Moore and Tucker",4965.92
"Parker, Bailey and Black",4965.84
Kelley-Silva,4965.84
Gomez-York,4965.78
"Scott, Robinson and Garrett",4965.4
Jackson-Mahoney,4965.39
Mcdowell-Juarez,4965.36
Jordan-Brown,4965.23
"Gilbert, Chapman and Lowe",4965.09
"Hill, Moore and York",4965.09
Jones-Reid,4965.02
Oneill-Hayes,4964.99
"Moody, Gonzalez and Wood",4964.98
Randolph and Sons,4964.76
Vargas-Sanchez,4964.61
Fox-Gill,4964.56
Jenkins-Johnston,4964.42
Knight-Haney,4964.34
"Shea, Evans and Spears",4964.29
Marshall-Hahn,4964.21
Lopez-Osborne,4964.21
Maddox-Davis,4964.18
"Morse, Wilson and Johnson",4964.16
"Stephenson, Green and James",4964.16
"Ross, Black and Reed",4964.08
Haynes-Travis,4964.07
"Duke, Alvarez and Trevino",4964.05
"White, Phillips and Velez",4964.05
"Bruce, Brown and Hall",4964.03
Simpson-Carr,4964.0
Ray-Bell,4963.86
"Davis, Cortez and Anderson",4963.8
Haas-Gonzales,4963.48
"Woodward, Brown and Wheeler",4963.46
"Bishop, Wade and Newman",4963.38
Maxwell-Thompson,4963.34
"Young, Jackson and Reyes",4963.28
"Hoffman, Michael and Hebert",4963.26
"Johnson, Wilson and House",4963.26
Arias-Roberts,4963.26
"Salazar, Kent and Lawrence",4963.25
"Richardson, Simon and Williamson",4963.15
Murphy-Chang,4963.14
"Diaz, Fleming and Park",4963.1
"Holt, Kelly and Lee",4962.9
"Fox, Parker and Rios",4962.86
Bond-Henson,4962.81
Craig-Hale,4962.71
Austin-Flores,4962.62
Garcia-Fuentes,4962.57
Oneal-Lewis,4962.54
Sims-Avila,4962.42
Valdez-Rose,4962.33
Sanford-Douglas,4962.31
"Johnson, Robbins and Phillips",4962.2
"Stephens, Barr and Willis",4962.09
Young-Garcia,4962.07
"Richardson, Ray and Smith",4962.05
"Becker, Ponce and Francis",4962.01
"Carr, Campbell and Watts",4961.98
"Campbell, Cobb and Williams",4961.94
"Norris, Reed and Franco",4961.92
Decker-Miller,4961.8
Bowers-Patterson,4961.72
Berry-Myers,4961.37
"Dalton, Perez and Sampson",4961.32
Pena-Sherman,4961.09
"Vargas, Montgomery and Long",4960.9
Ramirez-Barnes,4960.79
Sandoval-Davis,4960.76
"White, Fox and Carter",4960.55
"Howard, Clark and Blake",4960.51
Shelton-Morrow,4960.34
"Arnold, Payne and Nichols",4960.26
"Wall, Bradley and Manning",4960.24
"White, Cruz and Moran",4960.06
Bauer-Lopez,4959.88
"Contreras, Carr and Carpenter",4959.77
Dudley-Rogers,4959.69
"Wolf, Williams and Turner",4959.52
"Garcia, Richardson and King",4959.48
Wright-Nichols,4959.48
"Kelley, Schwartz and Navarro",4959.41
"Bryant, Rollins and Jones",4959.39
"Ryan, Peterson and King",4959.31
"Martin, Owens and Macias",4959.13
Stewart-Nguyen,4959.09
"Peters, Walker and Faulkner",4959.06
"Harding, Jensen and Reyes",4959.05
Black-Conway,4959.04
Garcia-Gonzalez,4959.0
Green-Valencia,4958.77
Turner-Shields,4958.74
Lucas-King,4958.66
"Mueller, Jenkins and Nelson",4958.62
"Miles, Jackson and Peck",4958.57
Silva-Bonilla,4958.44
"Williams, Chen and James",4958.39
"Mora, Fields and Palmer",4958.37
"Sutton, Oliver and Fields",4958.36
"Steele, Mejia and Hobbs",4958.29
Cardenas-Estrada,4958.29
"Mccarthy, Stokes and Lane",4958.17
"Smith, Decker and Carter",4958.16
Walters-Spears,4957.86
"Torres, Smith and Parker",4957.55
Ewing-King,4957.5
"Harris, Garcia and Saunders",4957.34
Smith-Bridges,4957.28
"Rosales, Brennan and Small",4957.18
Dyer-Sanchez,4957.18
"Holt, Medina and Morton",4957.03
Howell-Williams,4956.74
"Weeks, Wade and Frank",4956.54
"Kaiser, Lee and Clark",4956.32
Turner-Lawrence,4956.27
"Conway, Ritter and Lopez",4956.23
"Cummings, Dixon and Evans",4956.2
"Ramirez, Schaefer and Walker",4956.2
Wiggins-Smith,4956.16
Cortez-Reyes,4956.13
Bailey-Hayden,4956.1
Ayers-Pace,4956.04
Andrews-Fuller,4955.96
"Mccoy, Estrada and Henderson",4955.95
"Anderson, Smith and Smith",4955.93
"Torres, Sosa and Smith",4955.85
Mora-Williams,4955.82
"Farmer, Bolton and West",4955.77
"Jones, Garcia and Campbell",4955.7
"Gray, Gonzales and Hanson",4955.52
Gillespie-Carter,4955.46
Dougherty-Gross,4955.44
"Maxwell, Alexander and Johnston",4955.4
Chang-Rhodes,4955.34
"Stanley, Baker and Sanchez",4955.3
Reed-Andrade,4955.26
Fitzgerald-Griffin,4955.22
"Whitney, Smith and Rocha",4954.97
"Phillips, Wheeler and Miller",4954.84
Cisneros-Kelly,4954.63
Warner-Bryant,4954.63
"Reilly, Jordan and Glover",4954.53
"Frank, Suarez and Ferguson",4954.52
"Vargas, Wright and Hill",4954.46
"Clark, Rowe and Sanders",4954.44
"Combs, Mills and Frazier",4954.39
Fernandez-Gilbert,4954.32
Bridges-Love,4954.21
"Vaughn, Thomas and Sanchez",4954.2
Todd-Medina,4954.18
"Mckinney, Morris and Fernandez",4953.91
"Castaneda, Hooper and Watson",4953.87
Adams-Flores,4953.74
Adams-Weaver,4953.7
Diaz-Cobb,4953.64
Bennett-Fowler,4953.57
Collins-Meadows,4953.53
Travis LLC,4953.49
"Odonnell, Huang and Bridges",4953.48
Williams-Gibson,4953.46
Ramirez-Benson,4953.41
Lawson-Davis,4953.38
Weiss-Morris,4953.34
Patterson-Arnold,4953.28
"Newton, Paul and Craig",4953.2
Howe-Larson,4953.19
"King, Hall and Henry",4953.15
"Mccormick, Simmons and Ryan",4953.1
Mcbride-Thomas,4953.09
"York, Robinson and Rowe",4953.02
"Barron, Pacheco and Brown",4952.93
Smith-Chambers,4952.88
"White, Robinson and Todd",4952.76
Bell-Lewis,4952.69
Jacobs-Clark,4952.67
Hall-Gibson,4952.67
Mills-Davis,4952.5
"Walton, Cross and Williams",4952.49
"Reid, Peterson and Davidson",4952.45
Murray-Martinez,4952.37
Hanson-Schmidt,4952.33
Bennett-Moody,4952.32
"Summers, Young and Hernandez",4952.21
"Newton, Evans and Mcdaniel",4952.2
"Lawson, Gillespie and West",4952.2
"Parker, Brooks and Rice",4952.2
"Knapp, Hernandez and Hawkins",4952.13
Ortiz-Brown,4952.06
Rivera-Henderson,4952.03
Wells-James,4951.91
"Whitaker, Mcbride and Ritter",4951.87
"Garcia, Hahn and Butler",4951.63
Perez-Henderson,4951.63
Howe-Cox,4951.62
"Bauer, Wright and Murray",4951.6
Miller-Mccoy,4951.52
"Stephens, Gibson and Smith",4951.49
"Jordan, Collins and Harris",4951.24
Williams-Schneider,4951.18
Holmes-Fields,4951.11
"Lam, Stewart and Garcia",4951.06
"Smith, Thompson and Escobar",4951.05
"Pearson, Maldonado and Yang",4951.01
Green-Kelly,4950.78
"Morales, Patrick and Branch",4950.77
"Reeves, Walker and Bowen",4950.77
"Garcia, Brooks and Nguyen",4950.71
Charles-Jimenez,4950.7
"Ho, King and French",4950.66
"Simpson, Scott and Morales",4950.5
Torres-Mercer,4950.42
"Franklin, Potter and Long",4950.27
"Parker, Lewis and King",4950.24
"Walton, Bond and Davis",4950.17
Fisher-Arroyo,4950.13
"Macdonald, Charles and Melendez",4949.99
Stevens-Fowler,4949.96
"Coleman, Richardson and White",4949.8
Cannon-Phillips,4949.66
"Smith, Hill and Young",4949.64
Sweeney-Dixon,4949.37
"Brown, Olsen and Frye",4949.26
"Smith, Rodriguez and Perkins",4949.2
Randall-Jones,4949.15
"Smith, Thomas and Rogers",4949.01
Day-Vargas,4948.97
"Miller, Rivera and King",4948.92
Sims-Webb,4948.9
"Hicks, White and Mason",4948.8
"Russell, Schultz and Nguyen",4948.65
Mccarthy-Cruz,4948.47
Watts-Lloyd,4948.4
"Brown, Morris and Lewis",4948.39
"Guerra, Ortiz and Smith",4948.33
Ball-Diaz,4948.23
"House, Anderson and Hines",4948.22
Frank-Martinez,4948.08
Wilkinson-Coleman,4948.07
Ruiz-Adams,4947.86
"Mullen, Beard and Terry",4947.7
"Torres, Solis and Price",4947.58
Todd-Mooney,4947.58
"Gonzales, Wood and Tran",4947.55
"Vega, Hill and Richardson",4947.53
Sheppard-Williams,4947.52
Jones-Rivas,4947.48
"Moreno, Harris and Scott",4947.39
Page-Mcneil,4947.39
Davis-Haley,4947.17
"Long, Ramirez and Short",4946.91
Bishop-Sutton,4946.81
"Baker, Dunn and Vance",4946.79
Hamilton-Gallegos,4946.78
Morris-Rosales,4946.68
"Santiago, Watson and Reynolds",4946.53
"Dyer, Reed and Morrison",4946.47
Schmitt-Gonzalez,4946.41
Rangel-Green,4946.38
Hendrix-Nguyen,4946.23
"Griffin, Johnson and Houston",4946.21
"Kennedy, West and Jackson",4946.16
"Ryan, Cannon and Dunn",4946.06
"Garcia, Gardner and Jones",4946.02
"Mcneil, Peterson and Stone",4945.94
"Delacruz, Braun and Cameron",4945.87
Atkinson-Conley,4945.85
Fields-Horn,4945.6
Ramirez-Wheeler,4945.37
Bell-Mata,4945.33
Potter-Carroll,4945.17
Watkins-Bennett,4945.11
"Fisher, Torres and Chen",4945.09
Chapman-Woods,4945.04
Carpenter-Goodwin,4944.96
Peterson-Best,4944.81
Thompson-Fuentes,4944.74
"Miller, Maddox and Henry",4944.7
Farley-Haley,4944.55
"Crane, Graves and Martin",4944.37
Wiley-Green,4944.11
Sanchez-Gregory,4944.09
"Lee, Day and Archer",4944.04
"Sutton, Mitchell and Brown",4943.88
Mayo-Smith,4943.42
"Ruiz, Sanders and Perez",4943.4
Daugherty-Burke,4943.2
Elliott-Jones,4943.07
"Bean, Hopkins and Sutton",4942.99
Taylor-Pierce,4942.96
"Miranda, Carter and Bright",4942.92
"Dudley, Ibarra and Morgan",4942.84
"Stein, Brown and Evans",4942.81
Cole-Wood,4942.75
Bartlett-Johnston,4942.58
Schwartz-Jones,4942.57
"Beard, Bowman and Kent",4942.55
Gallagher-Morales,4942.49
Foster-Bean,4942.48
"Matthews, Arroyo and Vazquez",4942.46
Villanueva-Gregory,4942.42
Lopez-Ramsey,4942.39
Jackson-Pennington,4942.38
Burns-Richardson,4942.36
Cook-Schmitt,4942.29
Stewart-Richards,4942.05
"Carroll, Mcguire and Rice",4941.9
Obrien-Long,4941.87
"Cohen, Johnson and Hart",4941.86
"Williams, Oneill and Gutierrez",4941.76
"Stone, Hobbs and Walker",4941.71
"Caldwell, Baker and Knox",4941.57
Kane-Curry,4941.51
Hicks-Owens,4941.44
Peters-Barnett,4941.39
White-Miller,4941.37
Eaton-Gregory,4941.36
"Brown, Massey and Hoover",4941.25
Nolan-Bennett,4941.06
Hall-Johnson,4940.88
"Santiago, Long and Stanley",4940.81
"Perry, Brown and Brock",4940.71
"Wright, Baker and Holden",4940.67
Zuniga-Evans,4940.67
"Rodriguez, Zimmerman and Garcia",4940.56
"Tucker, Garcia and Bowers",4940.33
Wagner-Hill,4940.33
"White, Rodriguez and Zavala",4940.16
Wright-Sharp,4940.11
Walters-Olson,4940.04
Lawson-Andrews,4940.0
West-Stephens,4939.88
"Kirby, Diaz and Clark",4939.8
"Jones, Garrett and Arnold",4939.75
Stevenson-Walker,4939.73
"Carter, Nichols and Lane",4939.68
"Collier, Sampson and Jacobs",4939.65
"Murray, Carter and Graham",4939.63
Middleton-English,4939.47
Rodriguez-Wilkins,4939.38
Carroll-Sanchez,4939.28
Jordan-Novak,4939.28
"Tucker, Richardson and Melendez",4938.88
"Haynes, Perkins and Gilbert",4938.76
"Garcia, Jones and Young",4938.71
Schmidt-Wilkerson,4938.51
"Pearson, Roberts and Blevins",4938.5
"Ward, Palmer and Stewart",4938.47
Price-Chavez,4938.4
Sosa-Andrews,4938.19
"Caldwell, Johnston and Macias",4938.16
Coleman-Powell,4938.16
"Smith, Wells and Cooper",4938.05
Schultz-Hopkins,4938.0
"Oneal, Smith and Doyle",4937.82
"Rice, Stark and Trevino",4937.76
"Mccann, Coleman and Lee",4937.76
Lopez-Hammond,4937.76
"Brown, Norton and Boyd",4937.73
"Erickson, Thomas and Johnson",4937.65
"Hooper, Arellano and Price",4937.61
"Robinson, Jones and Zamora",4937.59
"Hall, Anderson and Willis",4937.44
Graham-Henson,4937.35
"Hendrix, Figueroa and Johnson",4937.03
"Jensen, Anderson and Collins",4936.98
Simpson-Hall,4936.69
Richardson-Huber,4936.62
"Bailey, Huynh and Dillon",4936.56
Garcia-Moore,4936.555
"Huffman, Nelson and Lewis",4936.51
Gregory-Silva,4936.43
"Thompson, Williams and Schmidt",4936.39
Dennis-Owens,4935.98
Harris-Padilla,4935.855
"Jensen, Lowe and Holland",4935.78
Green-Johnson,4935.69
"Chavez, Greene and Coleman",4935.68
Stone-Thornton,4935.68
"Smith, Reed and Boyer",4935.63
Marshall-Rodriguez,4935.59
"Thomas, Griffin and Burns",4935.58
"Boyd, Malone and Miller",4935.54
"Bender, Jones and Black",4935.52
Beck-Gallegos,4935.51
"Thornton, Townsend and Dixon",4935.25
"Yates, James and Mathews",4935.15
"Golden, Davis and Pierce",4935.11
Jenkins-Pearson,4935.02
"Smith, Daniel and Nguyen",4935.0
Murphy-Pittman,4934.96
"Cuevas, Sullivan and Sims",4934.9
"Hines, Miller and Mendoza",4934.79
"Fernandez, Wang and Sheppard",4934.58
"Hardy, Wilson and Carroll",4934.57
"Irwin, Thomas and White",4934.43
Gomez-Castro,4934.42
"Petersen, Archer and Sanchez",4934.28
"Evans, Reyes and Ramsey",4934.08
Jennings-Smith,4934.06
"Price, Marshall and Cochran",4934.01
"Moon, Mckenzie and Johnson",4933.77
"Watts, Duncan and White",4933.72
"Clark, Duarte and Vazquez",4933.63
Smith-Osborne,4933.62
Crawford-Meyer,4933.61
"Meyer, May and Miles",4933.54
Thomas-Paul,4933.52
Hardy-Rice,4933.37
Norris-Ward,4933.31
Kirk-Clark,4933.11
"Hansen, Olsen and Klein",4933.04
Ferguson-Goodman,4932.96
Rogers-Blanchard,4932.88
Graves-Hart,4932.87
Sanchez-Marquez,4932.86
Hood Group,4932.85
"Webb, Smith and Williams",4932.84
