merchant_name,total_spend
Wright LLC,56723.78
Young Group,56677.65
Nelson LLC,56472.36000000001
Sanchez LLC,56341.75
Cook Ltd,56226.24
Thompson LLC,55919.46000000001
Morris Ltd,55381.17999999999
Rivera Group,55171.36000000001
Wright Inc,55112.069999999985
Lewis LLC,54795.540000000015
Diaz PLC,54094.130000000005
Lewis Group,53668.24999999999
Flores Inc,53552.41999999999
Carter Inc,53482.060000000005
Turner LLC,53447.07
Clark PLC,53447.060000000005
Roberts LLC,53441.60000000001
Kelly Group,53425.75
Peterson Group,53423.82
King PLC,53377.75999999999
Bell Ltd,52925.94000000001
Mendoza LLC,52413.59
Edwards Inc,52410.82000000001
Roberts Inc,52409.65000000001
Campbell and Sons,52328.490000000005
Reynolds PLC,51603.19
Murphy Ltd,51468.350000000006
Lee PLC,51459.54
Allen LLC,51298.12
Roberts and Sons,51244.10999999999
Lewis PLC,50998.65999999999
Phillips LLC,50995.96999999999
Robinson Inc,50876.94000000001
Black LLC,50800.880000000005
Morgan Ltd,50756.59999999999
Harris PLC,50578.31
Jackson Ltd,50529.23
Hill Group,50522.25
Parker and Sons,50289.66
King and Sons,50071.490000000005
Campbell PLC,49834.090000000004
Cook Group,49805.729999999996
Ramirez Ltd,49463.82
Baker LLC,49059.62000000001
Baker Ltd,48691.21000000001
Parker Ltd,48689.159999999996
Campbell Inc,48255.329999999994
Carter Ltd,48199.59
Mitchell and Sons,48177.939999999995
Scott and Sons,48093.030000000006
Turner Ltd,48089.009999999995
Reed PLC,48086.820000000014
Rivera PLC,48070.799999999996
Murphy Inc,47912.23
Myers LLC,47725.68
Cox and Sons,47521.17
King Ltd,47503.25000000001
Nelson PLC,47174.50000000001
Green Inc,47083.420000000006
Ward and Sons,46910.229999999996
Hamilton and Sons,46907.42999999999
Price PLC,46828.89
Perez Inc,46714.049999999996
Peterson Inc,46521.16
Collins Ltd,46331.939999999995
Ross Group,46135.98
Young and Sons,46085.630000000005
Adams and Sons,45854.45000000001
Torres Ltd,45774.969999999994
Hughes PLC,45735.509999999995
Gonzales PLC,45733.770000000004
Brooks Inc,45607.17
Clark Inc,45474.01000000001
Edwards and Sons,45279.2
Cook PLC,45231.99
Torres LLC,44924.0
Cooper LLC,44787.909999999996
Parker PLC,44787.69
Walker LLC,44732.27999999999
Reed Ltd,44725.670000000006
Perez PLC,44658.780000000006
Walker Ltd,44581.85999999999
Cook and Sons,44464.96
Evans Group,44439.32
Foster Group,44426.21000000001
Edwards PLC,44333.73999999999
Flores Group,44160.369999999995
Scott LLC,44027.66
Nelson Ltd,43974.78
Green and Sons,43971.369999999995
Reed LLC,43952.11
Phillips PLC,43897.049999999996
Sanchez and Sons,43729.11000000001
Kelley Inc,43605.75
Kelly Inc,43577.189999999995
Phillips Group,42908.420000000006
Stewart and Sons,42899.759999999995
Cruz Ltd,42870.48999999999
Gomez Ltd,42739.68
Robinson Group,42714.65
Collins and Sons,42570.76000000001
Ramirez Inc,42400.07
Wright and Sons,42362.1
Powell LLC,42304.51999999999
Hall and Sons,42264.69000000001
Gray Group,42171.53
Young PLC,42023.95
Nguyen Inc,41961.11
Torres and Sons,41960.96
Hunt Ltd,41926.340000000004
Cooper Inc,41900.100000000006
Ramirez LLC,41881.43
Green Ltd,41872.01999999999
Parker LLC,41713.91
Rogers Inc,41684.88
Morris and Sons,41650.49
Alexander LLC,41584.0
Stewart Inc,41536.48
Campbell LLC,41528.450000000004
Stewart Group,41384.19999999999
Murphy Group,41344.25
Diaz Ltd,41218.54
Campbell Group,41143.170000000006
Collins Group,41028.69
Young Inc,40720.60999999999
Green Group,40690.25
Bell Group,40644.74
Morris Inc,40541.63999999999
Ross PLC,40354.41
Evans Inc,40179.33000000001
Bell LLC,40145.39000000001
Bell and Sons,40082.06999999999
Morris Group,39935.0
Bishop LLC,39851.93
Sanchez Inc,39810.92
Gray and Sons,39770.78
Gonzales Group,39667.0
Walker and Sons,39613.49
Gomez Group,39587.71
Olson and Sons,39587.02
Wells Group,39575.16
Morgan LLC,39383.34
Kelly PLC,39184.2
Collins PLC,39173.62
Ramirez Group,39140.11000000001
Ward PLC,39036.29
Scott PLC,38939.90999999999
Wright Ltd,38929.39
Perry Inc,38908.66
Hayes PLC,38847.39
Walker Inc,38828.689999999995
Powers Inc,38820.19
Nelson and Sons,38804.85999999999
Bryant Inc,38786.340000000004
Gomez LLC,38705.979999999996
James Ltd,38551.45
Richardson and Sons,38261.51
Phillips and Sons,38079.399999999994
Flores Ltd,38050.41000000001
West Ltd,37983.909999999996
Gonzales and Sons,37973.88
Hill LLC,37956.28999999999
Russell Inc,37875.24
Henderson PLC,37827.369999999995
Roberts Ltd,37791.960000000014
Richardson Group,37718.46
Reyes Ltd,37684.02
Mitchell Group,37608.649999999994
Mason Inc,37597.18000000001
Jenkins Ltd,37532.45
Campbell Ltd,37462.02
Weber LLC,37452.21
Bailey LLC,37398.86000000001
Bradley Group,37395.39
Hughes and Sons,37376.380000000005
Olson Group,37350.719999999994
Russell Ltd,37319.670000000006
Phillips Ltd,37277.31
Rogers and Sons,37046.1
Tran LLC,37036.780000000006
Myers and Sons,37001.71000000001
Pierce and Sons,36919.3
Ford LLC,36889.85
Mendez PLC,36845.77
Murphy and Sons,36837.479999999996
Long LLC,36821.649999999994
Morris PLC,36802.340000000004
Mitchell LLC,36768.43
Kelly and Sons,36633.14
Burns PLC,36627.189999999995
Washington Ltd,36566.619999999995
Howard Inc,36514.97
Porter Group,36500.880000000005
Turner Inc,36491.14
Stevens LLC,36367.63
Cook Inc,36347.36
Stewart Ltd,36293.27
Wagner LLC,36224.700000000004
Peterson Ltd,36134.74
Rogers LLC,36034.909999999996
Brooks Group,36022.340000000004
Jones-Johnson,35998.16
Flores PLC,35886.96
Jordan Group,35844.41999999999
Bailey and Sons,35786.0
Marshall Group,35775.99
Flores LLC,35741.87
Morgan PLC,35659.15
Coleman Group,35632.7
Harrison Ltd,35614.090000000004
Hughes Group,35586.38
Bennett and Sons,35582.08
Cooper Ltd,35579.119999999995
Cooper Group,35517.869999999995
Morgan and Sons,35494.740000000005
Ellis PLC,35461.86
Wood LLC,35428.509999999995
Foster Inc,35361.76
Watson PLC,35308.49
Warren PLC,35274.91
Murray Group,35143.32
Price Group,35084.61
Chen Group,35053.67999999999
Wood Group,35017.17
Jordan PLC,34913.94
Young Ltd,34901.7
Smith-Miller,34857.66999999999
Turner and Sons,34830.049999999996
Russell Group,34680.86
Hill Inc,34620.74999999999
Bryant and Sons,34598.759999999995
Reyes PLC,34541.26
Smith-Davis,34450.74
Coleman and Sons,34374.38
Collins Inc,34350.08
Snyder LLC,34286.77
Bailey PLC,34222.049999999996
Green LLC,34221.479999999996
Stewart LLC,34219.56
Weber Group,34202.11999999999
Nguyen and Sons,34189.99
Fisher Inc,34117.649999999994
Scott Inc,34104.65
Reynolds and Sons,34083.69
Sullivan Ltd,34067.13
Watkins PLC,33969.18000000001
Chavez Group,33944.21
Nguyen Ltd,33891.32
Freeman LLC,33828.61
Ward Ltd,33814.15
Reyes Group,33805.88
Evans LLC,33750.15
Ruiz PLC,33718.62
Diaz Inc,33703.06999999999
Peterson PLC,33693.810000000005
Hughes LLC,33647.06
Warren Ltd,33595.29
Barnett LLC,33595.100000000006
Morales LLC,33582.11
Bennett PLC,33540.6
Evans PLC,33506.14
Ford and Sons,33484.01
Herrera Ltd,33408.93
Nguyen Group,33296.01
Robertson LLC,33260.69
Duncan and Sons,33210.76
Bell Inc,33209.52
Griffin LLC,33198.28
Edwards Ltd,33186.39
Long and Sons,33151.619999999995
Richardson PLC,33085.15
Price and Sons,32942.990000000005
Perry and Sons,32900.85
Tucker PLC,32833.11
Fisher and Sons,32824.84
Fisher Ltd,32819.14
Hayes Group,32796.99
Griffin and Sons,32714.15
Peterson LLC,32676.45
Graham Group,32670.71
Murray Ltd,32611.910000000007
Reed Group,32607.070000000003
Henderson LLC,32502.13
Morgan Inc,32494.230000000007
Park Ltd,32473.49
Gray Ltd,32460.600000000002
Jordan and Sons,32417.2
Palmer and Sons,32323.32
Kennedy Ltd,32254.390000000007
Steele and Sons,32209.910000000003
Diaz LLC,32209.61999999999
Harrison Group,32165.79
Mitchell PLC,32161.559999999998
Morgan Group,32127.6
Shaw LLC,32120.65
Gibson Ltd,32087.629999999994
Kim and Sons,32066.450000000004
Perry Ltd,32044.200000000004
Murphy PLC,31986.68
Cooper PLC,31967.050000000003
Patterson and Sons,31958.350000000002
Burns Inc,31905.549999999996
Reynolds Inc,31900.68
Jimenez LLC,31814.050000000003
Dean and Sons,31767.280000000002
Torres Group,31766.04
Butler PLC,31758.59
Harmon Inc,31755.800000000003
Hicks Inc,31715.53
Gibson Inc,31663.129999999994
Shaw Ltd,31604.66
Morris LLC,31525.019999999997
Daniels PLC,31489.379999999997
Turner Group,31488.370000000003
Adams Group,31477.300000000003
Cox Ltd,31468.769999999997
Kelly LLC,31453.07
Ross and Sons,31447.820000000003
Lane LLC,31427.51
Christensen Group,31223.33
Graham PLC,31058.159999999996
Rose and Sons,31056.34
Coleman Ltd,31012.679999999997
Chavez PLC,31003.639999999996
Wallace LLC,30998.760000000002
West Inc,30934.600000000002
Griffin Group,30823.97
Hunter Inc,30813.4
Davidson Inc,30797.399999999998
Cruz LLC,30785.120000000006
Parker Inc,30748.1
Foster LLC,30686.679999999997
Kim Group,30676.800000000003
Graham and Sons,30631.190000000002
Roberts Group,30617.109999999997
Mccoy Group,30608.69
Perry Group,30575.22
Gray Inc,30571.79
Gutierrez LLC,30550.9
Brooks PLC,30520.65
Olson Inc,30469.550000000003
Cook LLC,30416.260000000006
Patel Group,30379.37
Morales Inc,30359.25
Long Ltd,30331.379999999997
Hayes LLC,30280.21
Butler Ltd,30211.009999999995
Cole Group,30193.9
Adams LLC,30092.520000000004
Holland PLC,30053.03
Williams-Smith,29986.020000000004
Elliott PLC,29942.909999999996
Gilbert and Sons,29936.589999999997
Lawrence Ltd,29899.7
Coleman LLC,29886.920000000002
Patterson LLC,29875.55
Howard and Sons,29852.33
Hamilton PLC,29835.669999999995
Powell Ltd,29829.920000000002
Herrera Inc,29818.230000000003
Nguyen PLC,29766.990000000005
Meyer LLC,29737.820000000003
Ruiz LLC,29714.63
Cox Inc,29704.62
Owens Ltd,29660.17
Daniels Inc,29635.1
Wagner Inc,29595.19
Hawkins Group,29539.5
Boyd PLC,29488.09
Nichols LLC,29480.83
Hughes Ltd,29445.68
Bennett Inc,29436.010000000002
Butler and Sons,29421.68
Price Inc,29391.71
Rivera Inc,29379.190000000002
Marshall PLC,29370.36
Jenkins and Sons,29362.68
Morrison and Sons,29320.12
Snyder and Sons,29257.07
Washington Group,29238.36
Gutierrez and Sons,29224.37
Santos LLC,29213.139999999996
Arnold PLC,29160.730000000003
Ferguson and Sons,28966.640000000003
Boyd and Sons,28952.84
Burke and Sons,28944.19
Wood Ltd,28761.15
Little Ltd,28748.309999999998
Castillo and Sons,28636.280000000006
George Group,28614.32
Gomez PLC,28595.989999999998
Pena Group,28593.94
Bryant Ltd,28584.649999999998
Moreno and Sons,28510.510000000006
Brewer Group,28472.54
Soto and Sons,28465.07
Sims Group,28441.53
Hansen Group,28440.109999999997
Hudson Inc,28407.69
Howard Ltd,28342.16
Kim LLC,28317.66
Morales Ltd,28317.19
Simpson LLC,28313.9
Logan Group,28294.600000000002
Hunter PLC,28284.14
Kennedy and Sons,28270.979999999996
Richardson Inc,28235.210000000003
Alvarez Inc,28228.369999999995
Tucker LLC,28179.82
Williams-Brown,28153.820000000003
Rivas and Sons,28101.25
Armstrong Group,28097.149999999998
Sullivan LLC,28075.27
Patel LLC,28025.43
Watson Group,27981.14
Schultz Ltd,27920.950000000004
Price LLC,27914.269999999997
Carroll PLC,27906.09
Hunter Group,27881.329999999994
Mitchell Ltd,27859.600000000002
Butler Group,27849.49
Fisher PLC,27755.269999999997
Horton Group,27749.090000000004
Jordan Inc,27745.98
Thornton Inc,27743.59
Gutierrez PLC,27648.170000000006
Ferguson Group,27647.66
Combs Inc,27639.59
Harris-Smith,27592.71
Ward LLC,27589.07
Ward Group,27586.63
Wyatt Inc,27580.449999999997
Castillo Inc,27553.319999999996
Edwards LLC,27552.939999999995
Gordon and Sons,27547.6
Richards LLC,27528.699999999997
Coleman Inc,27475.760000000002
Butler LLC,27383.739999999998
Meyer Ltd,27379.600000000002
Bennett LLC,27358.0
Howell Group,27343.559999999998
Powell and Sons,27277.649999999998
Fernandez LLC,27254.040000000005
Stevens and Sons,27232.86
Sullivan and Sons,27198.96
Palmer Group,27159.98
Pena LLC,27155.049999999996
Hamilton Ltd,27152.84
Vasquez Inc,27144.36
Brooks and Sons,27083.940000000002
Long PLC,27081.219999999994
Smith-Taylor,27053.52
Payne Ltd,26985.15
Fernandez Group,26977.800000000003
Armstrong and Sons,26925.64
Gonzales Inc,26914.340000000004
Dennis Inc,26857.819999999996
Boyd Inc,26848.809999999998
Mendoza PLC,26818.49
Matthews LLC,26810.359999999997
Henry Group,26797.05
Rivera LLC,26751.94
Brown-Smith,26737.949999999997
Carter Group,26735.339999999997
Perkins Inc,26735.159999999996
Robertson Ltd,26716.010000000002
Meyer Group,26698.26
Johnson-Smith,26696.370000000003
Dixon Inc,26663.629999999997
Owens LLC,26642.780000000006
James and Sons,26623.299999999996
Myers PLC,26605.659999999996
Lane Ltd,26534.66
Matthews and Sons,26430.340000000004
Bryant PLC,26425.860000000004
Mcdonald Ltd,26407.479999999996
Le LLC,26376.170000000002
Jenkins LLC,26332.29
Fisher Group,26309.6
Brooks LLC,26280.850000000002
Watson LLC,26272.28
Moreno PLC,26248.73
Payne Inc,26245.030000000002
Neal and Sons,26220.149999999994
Romero Group,26202.300000000003
Reynolds LLC,26200.969999999998
Miller-Smith,26200.14
Mason and Sons,26198.24
Barnes and Sons,26148.090000000007
Caldwell Group,26026.97
Mills Group,26022.890000000003
Valencia LLC,26007.65
Tucker Group,25991.420000000002
Burke Group,25988.45
Rivera and Sons,25974.359999999997
Bailey Ltd,25957.719999999998
Moody Ltd,25944.649999999998
Diaz and Sons,25923.19
Morrison Group,25920.3
Evans and Sons,25887.56
Riley Inc,25868.7
Ross Inc,25814.940000000002
Wood and Sons,25750.079999999998
Hansen PLC,25737.31
Tucker Ltd,25696.489999999998
Henry Ltd,25648.490000000005
Mcdonald LLC,25640.68
Walters Group,25604.010000000002
Schmidt and Sons,25567.96
Joseph Ltd,25555.420000000002
Hart and Sons,25545.920000000002
Bell PLC,25507.440000000002
Schneider and Sons,25457.68
Diaz Group,25410.649999999998
Reed and Sons,25407.330000000005
Curry LLC,25372.949999999997
Carpenter Ltd,25368.63
Moore-Smith,25351.7
Ellis Ltd,25322.61
Wood PLC,25307.34
Barnes Inc,25300.350000000002
Harrison PLC,25289.12
Bryant Group,25273.02
Harper PLC,25272.360000000004
Graham Ltd,25233.04
Simpson PLC,25161.46
Vasquez PLC,25137.690000000002
Carroll Group,25123.46
Sullivan PLC,25118.83
Burns and Sons,25068.17
Russell LLC,25025.230000000003
Gibson and Sons,24992.75
Smith-Johnson,24979.51
Barker LLC,24939.140000000003
Keller PLC,24914.82
Meyer and Sons,24870.72
Schmidt Group,24867.9
Wagner Ltd,24846.72
Avila Ltd,24833.86
West and Sons,24808.93
James LLC,24768.600000000002
Rice and Sons,24692.289999999997
Simmons Inc,24688.430000000004
Watson Inc,24670.940000000002
Schneider LLC,24669.309999999998
Cole and Sons,24638.329999999998
Craig Ltd,24625.9
Watson Ltd,24593.01
Alexander Ltd,24570.940000000002
Ortiz Group,24500.979999999996
Woods Inc,24496.710000000003
Hamilton Inc,24465.890000000003
Henderson Inc,24447.36
Melton LLC,24427.23
Cooper and Sons,24413.809999999998
Henderson Group,24405.419999999995
Bradley Ltd,24391.6
Ferguson LLC,24390.309999999998
Henderson and Sons,24376.96
Crawford PLC,24345.78
Smith-Jackson,24326.050000000003
Pena and Sons,24315.87
Wells PLC,24302.340000000004
Sanders PLC,24281.88
Farmer LLC,24277.78
Garrett Inc,24261.129999999997
Kim PLC,24252.299999999996
Cohen Ltd,24245.79
Torres Inc,24204.039999999997
Jenkins Inc,24203.889999999996
Johnson-Jones,24200.99
Mcclain PLC,24197.420000000002
Wallace PLC,24176.390000000003
Spencer Inc,24160.149999999998
Stevenson Group,24155.549999999996
West PLC,24151.83
Riley PLC,24130.020000000004
Dixon PLC,24119.210000000003
Silva Inc,24111.260000000002
Alexander and Sons,24108.749999999996
Rivera Ltd,24108.68
Ruiz Group,24054.439999999995
Alexander Group,24015.240000000005
Murray Inc,24013.460000000003
Jimenez and Sons,23998.58
Burke LLC,23989.72
Mcdonald Inc,23946.420000000006
Webb Group,23930.590000000004
Ortega PLC,23918.010000000002
Ross LLC,23893.280000000002
Willis and Sons,23865.54
Myers Ltd,23859.57
Chapman Ltd,23833.32
Valdez PLC,23802.96
Mcdonald Group,23797.850000000002
Wallace and Sons,23797.36
George LLC,23793.620000000003
Bates PLC,23773.08
Alvarez Group,23765.97
Simmons PLC,23742.73
Rose PLC,23710.78
Jensen Inc,23707.7
Kennedy Group,23699.37
Gutierrez Ltd,23693.620000000003
Henry PLC,23684.08
Vargas Ltd,23675.940000000002
Shaw and Sons,23663.879999999997
Burke Ltd,23648.119999999995
Hansen and Sons,23643.72
Obrien Inc,23626.440000000002
Gilbert LLC,23619.509999999995
Padilla and Sons,23613.66
Snyder Inc,23602.74
Mann Inc,23600.81
Nunez PLC,23587.24
Butler Inc,23563.579999999998
Knight PLC,23556.36
Tucker and Sons,23543.399999999998
Crawford LLC,23541.119999999995
Bailey Inc,23513.820000000003
Boyd LLC,23474.440000000002
Welch Group,23433.59
Wallace Ltd,23427.879999999997
Reed Inc,23419.46
Cohen Inc,23403.01
Arnold Inc,23400.559999999998
Olson PLC,23387.98
Fowler Inc,23368.19
Douglas Inc,23306.719999999998
Berry and Sons,23297.97
Gibson Group,23296.2
Grant Ltd,23293.99
Ramos and Sons,23293.660000000003
Saunders PLC,23277.87
Hodges PLC,23271.61
Owens and Sons,23240.45
Stevens Inc,23233.93
Howard LLC,23208.2
Griffin Inc,23207.13
Johnson-Williams,23175.43
Grant and Sons,23161.3
Cruz Group,23129.5
Hoffman Group,23114.11
Arnold and Sons,23096.689999999995
Simmons and Sons,23069.75
Contreras LLC,23067.61
Jones-Smith,23059.32
Reid and Sons,23056.969999999994
Wheeler and Sons,23055.29
Stevens PLC,23038.53
Collins LLC,23014.599999999995
Fields and Sons,23005.879999999997
Hopkins Ltd,22986.160000000003
Hart Ltd,22893.25
Hudson Group,22886.61
Mueller LLC,22873.61
Morales PLC,22832.980000000003
Woods Ltd,22832.449999999997
Henry LLC,22818.839999999997
Powell Inc,22814.489999999998
Johnson-Brown,22795.129999999997
Walsh PLC,22769.87
Keller LLC,22731.16
Gordon PLC,22722.31
Santiago Inc,22719.4
Watts PLC,22705.03
Hale Group,22690.329999999998
Cox PLC,22660.37
Lane Inc,22648.66
Dean Group,22636.54
Hicks LLC,22596.32
Medina LLC,22594.21
Patterson Ltd,22589.59
Strickland Ltd,22589.449999999997
Kelly Ltd,22569.639999999996
Freeman Ltd,22564.67
French PLC,22549.559999999998
Harvey PLC,22540.99
Murray PLC,22522.780000000002
Evans Ltd,22517.079999999998
Ortiz Inc,22513.989999999998
Mendoza and Sons,22505.26
Williamson and Sons,22497.989999999998
Kelley PLC,22447.08
Jenkins PLC,22439.920000000002
Fox and Sons,22415.49
Benson PLC,22412.82
Fleming Group,22392.72
Crawford and Sons,22379.800000000003
Hunter LLC,22373.55
Hart Group,22371.610000000004
Hunt PLC,22358.609999999997
Adkins and Sons,22354.059999999998
Cruz PLC,22350.57
Stephens Group,22293.54
Daniels Group,22278.030000000002
Powers Group,22267.89
Sanders Inc,22241.31
Delgado Inc,22229.090000000004
Wiggins and Sons,22221.920000000002
Hansen Inc,22203.56
Wagner Group,22198.280000000002
Dixon LLC,22196.7
Erickson Inc,22159.62
James PLC,22053.920000000002
Fowler Group,22051.170000000002
Chavez Inc,22038.45
Murphy LLC,21997.29
Greene PLC,21990.629999999997
Garrett Ltd,21947.64
Jones-Brown,21912.879999999997
Nguyen LLC,21882.4
Kim Inc,21878.730000000003
Turner PLC,21860.81
Cortez PLC,21842.329999999998
James Group,21837.51
Daniels LLC,21821.910000000003
Hudson and Sons,21777.29
Myers Inc,21758.790000000005
Castillo Group,21724.11
Fuller PLC,21717.48
Hanson LLC,21701.059999999998
Jenkins Group,21696.920000000002
Valdez Inc,21643.079999999998
Coleman PLC,21619.29
Hunter and Sons,21589.739999999998
Sims LLC,21577.16
Ryan Inc,21541.370000000003
Hoffman Ltd,21537.71
Jordan LLC,21534.409999999996
Freeman and Sons,21502.960000000003
Maldonado and Sons,21498.149999999998
Fields Inc,21482.41
Freeman Inc,21476.32
Gardner Inc,21474.16
Rodgers LLC,21423.449999999997
Chambers Ltd,21419.47
Stone and Sons,21409.13
Hunt Inc,21387.61
Smith-Walker,21379.25
Ford Inc,21366.500000000004
Hanson PLC,21333.73
Smith-Rodriguez,21333.29
Smith-Smith,21271.620000000003
Bradley Inc,21263.199999999997
Smith-Garcia,21242.11
Harvey Ltd,21221.23
Spencer and Sons,21210.700000000004
Salazar and Sons,21199.920000000002
Stanley PLC,21190.81
Douglas and Sons,21184.91
Lynch Inc,21184.21
Love Ltd,21175.780000000002
Gardner and Sons,21162.75
Crawford Group,21157.59
Medina Inc,21137.24
Hanson Inc,21110.11
Sullivan Group,21079.02
Garrett Group,21046.059999999998
Watkins Group,21012.49
Garza PLC,21008.39
Cohen PLC,21005.109999999997
Navarro LLC,20992.14
Mccarthy Group,20968.319999999996
Rogers Ltd,20950.300000000003
Sims PLC,20917.53
Mcgee Inc,20913.690000000002
Howell and Sons,20899.159999999996
Moreno Inc,20896.880000000005
Bates Inc,20882.11
Barnes Group,20879.480000000003
